,investor,dealyear,totalUSD,counttotal,greenUSD,countgreen,brownUSD,countbrown,signatory,treatment,country,region,yearest,strategy,capsources,historicfunds,activeyears,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
81,1776,2013,0.3,1,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,12.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
82,1776,2014,0.7125,2,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,12.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
83,1776,2015,7.676666666,9,1.36,1,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,12.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
84,1776,2016,6.932142858,9,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,12.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
85,1776,2017,1.565277778,3,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,12.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
86,1776,2018,4.071428571,3,0,0,0,0,0,0,US,North America,2013,Venture Capital,Private Equity Funds,12.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
87,180 Degree Capital,2002,1.4,2,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,180 Degree Capital,2003,6.84551282,5,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,180 Degree Capital,2004,15.81,8,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,180 Degree Capital,2005,30.68095238,14,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,180 Degree Capital,2006,35.72416667,12,1.5,1,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
92,180 Degree Capital,2007,41.7525,10,9.066666667,2,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,180 Degree Capital,2008,38.15357143,9,6.266666667,2,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
94,180 Degree Capital,2009,23.83871753,7,2.142857143,1,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
95,180 Degree Capital,2010,31.98611111,9,5.8,2,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
96,180 Degree Capital,2011,35.73809524,11,9.833333333,3,5.5,1,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
97,180 Degree Capital,2012,17.28333333,11,0,2,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,180 Degree Capital,2013,18.17619048,8,0,0,3.066666667,1,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
99,180 Degree Capital,2014,23.17391026,7,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
100,180 Degree Capital,2015,17.06368398,7,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
101,180 Degree Capital,2016,6.194444445,4,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
102,180 Degree Capital,2017,9.866666667,4,0,0,0,0,0,0,US,North America,2017,Venture Capital,Balance Sheet,,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
